,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
41,guangzhou,天马丽苑二期,113.19123287431918,23.37494336951844,花都,108402617927,1600000.0,16887,Low,94.75,Flat,Tower,Steel/Concrete,Simplicity,Yes,2007,3,2,1,1
42,guangzhou,水荫横路,113.31950191804656,23.149613822953118,天河,108402611985,2800000.0,35506,High,78.86,Flat,Tower,Steel/Concrete,Simplicity,No,NaN,2,1,1,1
43,guangzhou,又一居花园,113.26482565489431,23.176504863213534,白云,108402608037,3500000.0,36428,Low,96.08,Flat,Tower,Steel/Concrete,Hardcover,Yes,1998,3,2,1,2
44,guangzhou,亚运城媒体北村,113.48011526012498,22.951294233234883,番禺,108402611427,2160000.0,29777,Low,72.54,Flat,Bungalow,Steel/Concrete,Hardcover,Yes,NaN,2,2,1,1
45,guangzhou,云山锦绣家园,113.36928493142649,23.302131144413796,白云,108402615607,5900000.0,53833,Low,109.6,Flat,Tower,Steel/Concrete,Simplicity,Yes,2007,3,2,1,1
46,guangzhou,南村路,113.27423477629436,23.110587501309706,海珠,108402601042,1720000.0,28691,High,59.95,Flat,Plate,Mixed,Hardcover,No,1990,3,1,1,1
47,guangzhou,又一居花园,113.26482565489431,23.176504863213534,白云,108402608367,4450000.0,38376,High,115.96,Flat,Tower,Steel/Concrete,Simplicity,Yes,2001,3,1,1,2
48,guangzhou,南华东路,113.27408224401881,23.117102296883285,海珠,108402616242,1380000.0,32019,High,43.1,Flat,Plate,Steel/Concrete,Other,No,NaN,2,1,1,1
49,guangzhou,富泽园,113.259091770826,23.098000320803266,海珠,108402603471,4000000.0,52604,Low,76.04,Flat,Tower,Steel/Concrete,Hardcover,Yes,2001,2,1,1,1
50,guangzhou,星河山海湾,113.61564602593153,22.766997008190323,南沙,108402601427,3080000.0,34580,High,89.07,Flat,Tower,Steel/Concrete,Rough,Yes,NaN,3,1,1,1
51,guangzhou,米兰苑,113.32334361138926,23.109391385297208,海珠,108402604270,4080000.0,48256,Low,84.55,Flat,Tower,Steel/Concrete,Simplicity,Yes,1998,3,1,1,1
52,guangzhou,敏捷锦绣天伦,113.64535173150897,23.131672573223334,增城,108402619966,1990000.0,22033,Low,90.32,Flat,Tower,Steel/Concrete,Rough,Yes,2013,3,1,1,1
53,guangzhou,凤凰新村,113.35677997974842,23.155745994062777,海珠,108402611206,1680000.0,31711,Middle,52.98,Flat,Tower,Mixed,Hardcover,No,1990,2,1,1,1
54,guangzhou,桂花岗,113.27072473734583,23.157451152053277,越秀,108402609021,1680000.0,25199,High,66.67,Flat,Tower,Steel/Concrete,Simplicity,No,NaN,2,1,1,1
55,guangzhou,万丰花园,113.28119439823061,23.107636580338117,海珠,108402614617,4500000.0,51904,Middle,86.7,Flat,Tower,Steel/Concrete,Hardcover,Yes,1999,2,1,1,1
56,guangzhou,东景华庭,113.60079748500924,23.128694037929836,增城,108402600637,1800000.0,21682,Middle,83.02,Flat,Tower,Steel/Concrete,Hardcover,Yes,2012,2,1,1,1
57,guangzhou,百事佳新村A区,113.27461017816687,23.173004980434868,白云,108402618496,2600000.0,35578,Low,73.08,Flat,Tower,Steel/Concrete,Hardcover,No,2006,3,2,1,1
58,guangzhou,下塘西路,113.27662103505028,23.16211146187291,越秀,108402603773,3200000.0,43396,Low,73.74,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,2,1,1,1
59,guangzhou,海天大厦,113.25412890237668,23.109016526935353,海珠,108402602102,4300000.0,36196,Low,118.8,Flat,Tower,Steel/Concrete,Simplicity,Yes,1999,3,1,1,1
60,guangzhou,乐居苑,113.26702587457916,23.101661244395462,海珠,108402608996,1950000.0,34447,Low,56.61,Flat,Tower,Steel/Concrete,Hardcover,No,1998,2,1,1,1
61,guangzhou,碧桂园豪进左岸,113.80981745676563,23.188410316426037,增城,108402604335,1400000.0,13651,Low,102.56,Flat,Tower,Steel/Concrete,Hardcover,Yes,2018,3,1,1,2
62,guangzhou,丽景华苑一期,113.3550389738401,22.914719048013026,番禺,108402617625,2080000.0,20830,Middle,99.86,Flat,Tower,Steel/Concrete,Other,No,2004,3,1,1,2
63,guangzhou,龙湾贰号,113.23274626683809,23.108068448823882,荔湾,108402602968,3180000.0,35864,Middle,88.67,Flat,Tower,Steel/Concrete,Hardcover,Yes,1996,3,1,1,1
